,Dataset Name,"Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Time"
115,ER_700_800_0.15_90,39,30.03938889503479
116,ER_700_800_0.15_80,42,30.050734996795654
117,ER_700_800_0.15_29,42,30.057738065719604
118,ER_700_800_0.15_39,41,30.059826850891113
119,ER_700_800_0.15_8,41,30.065003871917725
120,ER_700_800_0.15_52,40,30.058027029037476
121,ER_700_800_0.15_42,42,30.061425924301147
122,ER_700_800_0.15_89,40,30.060172080993652
123,ER_700_800_0.15_99,41,30.050583124160767
124,ER_700_800_0.15_30,41,30.05462098121643
125,ER_700_800_0.15_117,42,30.081560134887695
126,ER_700_800_0.15_20,42,30.066723108291626
127,ER_700_800_0.15_107,40,30.072913885116577
